country,Gold,Silver,Bronze
AIN,1,3,1
Afghanistan,0,0,2
Albania,0,0,2
Algeria,7,4,9
Argentina,22,26,29
Armenia,2,9,7
Australasia,3,4,5
Australia,171,192,210
Austria,92,122,130
Azerbaijan,9,13,27
Bahamas,6,2,6
Bahrain,4,2,1
Barbados,0,0,1
Belarus,20,34,44
Belgium,46,58,65
Bermuda,0,0,1
Bohemia,0,1,3
Botswana,1,2,0
Brazil,33,43,73
British West Indies,0,0,2
Bulgaria,55,90,86
Burundi,1,1,0
Cameroon,3,1,2
Canada,150,182,222
Cape Verde,0,0,1
Ceylon,0,1,0
Chile,3,8,4
China,287,226,202
Chinese Taipei,7,6,16
Colombia,5,12,16
Costa Rica,1,1,2
Cote d'Ivoire,1,0,2
Croatia,17,18,16
Cuba,79,67,83
Cyprus,0,2,0
Czech Republic,28,29,38
Czechoslovakia,51,57,60
Denmark,47,77,80
Djibouti,0,0,1
Dominica,1,0,0
Dominican Republic,4,2,4
Ecuador,2,3,2
Egypt,8,10,15
Eritrea,0,0,1
Estonia,13,11,18
Ethiopia,23,14,21
Federal Republic of Germany,67,82,94
Fiji,1,1,0
Finland,146,150,182
France,273,310,345
Gabon,0,1,0
Georgia,11,10,18
German Democratic Republic,192,165,162
Germany,307,307,304
Ghana,0,1,3
Great Britain,291,325,338
Greece,34,45,46
Grenada,1,1,2
Guatemala,1,1,1
Guyana,0,0,1
Haiti,0,1,1
"Hong Kong, British",1,0,0
"Hong Kong, China",2,1,3
Hungary,183,156,181
Iceland,0,2,2
Independent Olympic Athletes,1,0,1
Independent Participants (ex Yugoslavia),0,1,2
India,9,8,17
Indonesia,9,13,13
Iran,24,27,30
Iraq,0,0,1
Ireland,13,10,15
Israel,2,6,8
Italy,261,234,264
Ivory Coast,0,1,0
Jamaica,20,33,24
"Jamaica, British",3,5,0
Japan,179,177,204
Jordan,1,1,0
Kazakhstan,16,28,34
Kenya,35,40,39
Korea DPR,16,19,28
Korea Republic,136,126,117
Kosovo,1,1,1
Kuwait,0,0,2
Kyrgyzstan,0,3,7
Latvia,4,14,11
Lebanon,0,2,2
Liechtenstein,2,2,6
Lithuania,6,8,15
Luxembourg,2,3,0
Macedonia,0,0,1
Malaysia,0,7,6
Mauritius,0,0,1
Mexico,13,27,33
Mixed Team,3,2,4
Moldova,0,3,6
Mongolia,2,11,14
Montenegro,0,1,0
Morocco,7,5,13
Mozambique,1,0,1
Namibia,0,4,0
Netherlands,154,149,165
Netherlands Antilles,0,1,0
New Zealand,58,36,49
Niger,0,1,1
Nigeria,3,10,12
Norway,209,185,174
Olympic Athletes from Russia,2,6,9
Pakistan,4,3,4
Panama,1,1,2
Paraguay,0,1,0
Peru,1,3,1
Philippines,2,3,9
Poland,76,95,146
Portugal,5,10,13
Puerto Rico,1,2,8
Qatar,0,2,4
ROC,5,12,15
Refugee Olympic Team,0,0,1
Republic of China (Taiwan),0,1,1
Romania,92,98,124
Russian Empire,1,4,3
Russian Federation,193,164,185
Saint Lucia,1,1,0
Samoa,0,1,0
Saudi Arabia,0,1,2
Senegal,0,1,0
Serbia,6,7,7
Serbia and Montenegro,0,2,0
Singapore,1,1,3
"Singapore, British",0,1,0
Slovakia,13,16,10
Slovenia,11,17,22
South Africa,27,34,31
Spain,51,69,55
Sri Lanka,0,1,0
Sudan,0,1,0
Suriname,1,0,1
Sweden,213,226,242
Switzerland,114,124,131
Syria,1,1,1
Tajikistan,1,1,5
Tanzania,0,2,0
Thailand,10,11,18
Togo,0,0,1
Tonga,0,1,0
Trinidad and Tobago,3,4,9
"Trinidad and Tobago, British",0,1,2
Tunisia,5,3,8
Turkey,39,27,32
USSR,473,376,355
Uganda,3,4,2
Ukraine,40,37,64
Unified Team (ex USSR),54,44,37
Unified Team of Germany,36,60,41
United Arab Emirates,1,0,1
"United Arab Republic (Egypt, Syria)",0,1,1
United States,1177,955,843
Uruguay,2,2,6
Uzbekistan,16,8,21
Venezuela,2,4,9
Vietnam,1,3,1
"Virgin Islands, US",0,1,0
Yugoslavia,26,32,29
Yugoslavia Federal Republic,2,2,3
Zambia,0,1,2
Zimbabwe,3,4,1
